Title	URL	Assignees	Status	Estimated Size	Milestone	Labels
Graph search in database - return table results	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/107		Product Backlog		Graph querying	enhancement
Graph "search" bar from UI	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/108		Product Backlog		User Interface	enhancement
Follow up on POC from Sprint 9	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/110		Product Backlog			enhancement
Graph search in database - return text results	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/121		Product Backlog		Graph querying	enhancement
Demo day slide	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/123		Product Backlog			homework
Demo day video	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/124		Product Backlog			homework
Clean up codebase	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/122		Product Backlog			Priority - Low, refactoring
Finalize user, (technical) design, and build/deploy documentation	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/111		Product Backlog			documentation
End-to-end testing of application and features	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/125		Product Backlog			
Finalize demo day workflow	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/112		Product Backlog			
Finalize project report	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/issues/113		Product Backlog			homework
Syntax checking for JSON and converting to Graph format	https://github.com/amosproj/amos2024ss05-knowledge-graph-extractor/pull/63	borges-filipe	Feature Archive			
